analysis,sla_locus,hla_subgroup,hla_locus,n_sla_sequences,mean_ensemble_probability,median_ensemble_probability,summed_ensemble_probability,sd_across_seeds,loo_mean_min,loo_mean_max,frac_sequences_top_subgroup,n_sequences_top_subgroup,mean_seeds_voting_this_subgroup
class1,SLA-3,B39,B,43,0.002007,0.000717,0.086305,0.002027,0.001323,0.002506,0.0,0,0.0
class1,SLA-3,B40,B,43,0.139426,0.137963,5.995326,0.229645,0.039669,0.174106,0.4419,19,0.9535
class1,SLA-3,B41,B,43,0.010291,0.003161,0.442534,0.009664,0.006289,0.01233,0.0,0,0.0
class1,SLA-3,B44,B,43,0.004414,0.002417,0.189808,0.003785,0.003051,0.005399,0.0,0,0.0
class1,SLA-3,B46,B,43,0.00621,0.005319,0.267045,0.005987,0.004082,0.007694,0.0,0,0.0
class1,SLA-3,B49,B,43,0.003657,0.000757,0.157256,0.004761,0.001815,0.004549,0.0,0,0.0
class1,SLA-3,B50,B,43,0.008795,0.001805,0.378195,0.010002,0.00485,0.010965,0.0,0,0.0
class1,SLA-3,B51,B,43,0.002139,0.001908,0.091957,0.00287,0.000871,0.002646,0.0,0,0.0
class1,SLA-3,B52,B,43,0.002023,0.000858,0.087002,0.001772,0.001611,0.002502,0.0,0,0.0
class1,SLA-3,B53,B,43,0.003933,0.002488,0.169115,0.004447,0.002502,0.004883,0.0,0,0.0
class1,SLA-3,B55,B,43,0.00841,0.00256,0.361619,0.011654,0.003969,0.010504,0.0,0,0.0233
class1,SLA-3,B56,B,43,0.009169,0.003484,0.394286,0.012617,0.004709,0.011456,0.0,0,0.0
class1,SLA-3,B57,B,43,0.008459,0.007869,0.363718,0.009552,0.004452,0.010505,0.0,0,0.0
class1,SLA-3,B58,B,43,0.02875,0.02863,1.236256,0.036805,0.016082,0.035934,0.0,0,0.0465
class1,SLA-3,B_Other,B,43,0.034025,0.010399,1.463093,0.034393,0.02061,0.042275,0.0,0,0.2558
class1,SLA-3,C01,C,43,0.005364,0.004628,0.230673,0.003326,0.00412,0.006377,0.0,0,0.0
class1,SLA-3,C02,C,43,0.005886,0.003512,0.253114,0.010577,0.001177,0.007305,0.0,0,0.0233
class1,SLA-3,C03,C,43,0.01838,0.014945,0.790335,0.02667,0.006945,0.022959,0.0,0,0.093
class1,SLA-3,C04,C,43,0.005065,0.003174,0.21781,0.005718,0.002714,0.00628,0.0,0,0.0
class1,SLA-3,C05,C,43,0.023964,0.005675,1.03046,0.040457,0.006149,0.029944,0.0,0,0.2326
class1,SLA-3,C06,C,43,0.018842,0.015358,0.810194,0.024812,0.008361,0.023395,0.0,0,0.0233
class1,SLA-3,C07,C,43,0.048886,0.042201,2.102118,0.043711,0.037835,0.060898,0.0,0,0.2558
class1,SLA-3,C08,C,43,0.027111,0.025416,1.165771,0.031673,0.014617,0.033886,0.0,0,0.093
class1,SLA-3,C12,C,43,0.00904,0.010144,0.388709,0.013957,0.002924,0.011274,0.0,0,0.0
class1,SLA-3,C14,C,43,0.005851,0.004682,0.251582,0.008144,0.002541,0.007274,0.0,0,0.0
class1,SLA-3,C15,C,43,0.007582,0.0047,0.326015,0.008749,0.004381,0.009383,0.0,0,0.0465
class1,SLA-3,C16,C,43,0.008794,0.006187,0.37814,0.011962,0.003681,0.010929,0.0,0,0.0233
class1,SLA-3,C17,C,43,0.010665,0.003757,0.45858,0.013254,0.006129,0.013272,0.0,0,0.0233
class1,SLA-3,C_Other,C,43,0.004285,0.004477,0.184236,0.004715,0.002496,0.005177,0.0,0,0.0
class1,SLA-6,A01,A,10,0.005391,0.005465,0.053913,0.009832,0.001009,0.006705,0.0,0,0.0
class1,SLA-6,A02,A,10,0.001829,0.001816,0.018289,0.003325,0.000346,0.002283,0.0,0,0.0
class1,SLA-6,A03,A,10,0.001071,0.001068,0.010707,0.000852,0.000821,0.00131,0.0,0,0.0
class1,SLA-6,A11,A,10,0.00158,0.00161,0.015801,0.001674,0.000875,0.001953,0.0,0,0.0
class1,SLA-6,A23,A,10,0.012517,0.012372,0.125168,0.012598,0.007516,0.015579,0.0,0,0.0
class1,SLA-6,A24,A,10,0.03081,0.030113,0.3081,0.050799,0.008787,0.03847,0.0,0,0.0
class1,SLA-6,A25,A,10,0.009069,0.009197,0.090693,0.010714,0.004538,0.010774,0.0,0,0.0
class1,SLA-6,A26,A,10,0.009165,0.009399,0.091651,0.018235,0.001016,0.011391,0.0,0,0.0
class1,SLA-6,A29,A,10,0.00231,0.002291,0.023101,0.002049,0.001655,0.002859,0.0,0,0.0
class1,SLA-6,A30,A,10,0.001772,0.00178,0.017716,0.000882,0.001566,0.002119,0.0,0,0.0
class1,SLA-6,A31,A,10,0.003004,0.002969,0.030044,0.003865,0.001334,0.003646,0.0,0,0.0
class1,SLA-6,A32,A,10,0.004776,0.004838,0.047759,0.001716,0.004249,0.005431,0.0,0,0.0
class1,SLA-6,A33,A,10,0.002676,0.002662,0.026759,0.001932,0.002217,0.003328,0.0,0,0.0
class1,SLA-6,A68,A,10,0.001417,0.001416,0.014168,0.00123,0.000957,0.001748,0.0,0,0.0
class1,SLA-6,A_Other,A,10,0.007399,0.007443,0.073994,0.00645,0.004979,0.00905,0.0,0,0.0
class1,SLA-6,B07,B,10,0.003386,0.003474,0.033862,0.00354,0.001995,0.004048,0.0,0,0.0
class1,SLA-6,B08,B,10,0.010818,0.010845,0.108181,0.016878,0.003674,0.013457,0.0,0,0.0
class1,SLA-6,B13,B,10,0.030994,0.031049,0.309938,0.031384,0.020107,0.038675,0.0,0,0.0
class1,SLA-6,B14,B,10,0.03086,0.030556,0.3086,0.042161,0.013259,0.038524,0.0,0,0.0
class1,SLA-6,B15,B,10,0.000559,0.000564,0.005592,0.000656,0.000274,0.000686,0.0,0,0.0
class1,SLA-6,B18,B,10,0.002347,0.002324,0.023471,0.004048,0.000541,0.00291,0.0,0,0.0
class1,SLA-6,B27,B,10,0.123878,0.125649,1.238785,0.151132,0.080504,0.154398,0.0,0,2.0
class1,SLA-6,B35,B,10,0.000594,0.000599,0.005939,0.000633,0.000325,0.000701,0.0,0,0.0
class1,SLA-6,B37,B,10,0.073867,0.07537,0.738673,0.111542,0.024604,0.090117,0.0,0,1.0
class1,SLA-6,B38,B,10,0.016176,0.016055,0.16176,0.022551,0.006206,0.020042,0.0,0,0.0
class1,SLA-6,B39,B,10,0.01217,0.011988,0.121695,0.014728,0.007364,0.015205,0.0,0,0.0
class1,SLA-6,B40,B,10,0.139141,0.136529,1.391414,0.266859,0.02068,0.173844,1.0,10,1.0
class1,SLA-6,B41,B,10,0.013338,0.013204,0.133376,0.012826,0.008113,0.015668,0.0,0,0.0
class1,SLA-6,B44,B,10,0.004442,0.004414,0.044419,0.007134,0.00126,0.005381,0.0,0,0.0
class1,SLA-6,B46,B,10,0.001839,0.001845,0.018391,0.001467,0.001404,0.002266,0.0,0,0.0
class1,SLA-6,B49,B,10,0.028547,0.02839,0.285469,0.031262,0.018471,0.035325,0.0,0,0.0
class1,SLA-6,B50,B,10,0.024661,0.024649,0.246612,0.031226,0.011053,0.029954,0.0,0,0.0
class1,SLA-6,B51,B,10,0.001843,0.00186,0.018428,0.001986,0.001021,0.002301,0.0,0,0.0
class1,SLA-6,B52,B,10,0.012599,0.012507,0.125993,0.018544,0.004512,0.015567,0.0,0,0.0
class1,SLA-6,B53,B,10,0.006335,0.006256,0.063354,0.007197,0.004172,0.007893,0.0,0,0.0
class1,SLA-6,B55,B,10,0.017041,0.016942,0.170414,0.019003,0.009664,0.021207,0.0,0,0.0
class1,SLA-6,B56,B,10,0.026617,0.026265,0.266166,0.038391,0.010339,0.033143,0.0,0,0.0
class1,SLA-6,B57,B,10,0.008287,0.008323,0.082871,0.01034,0.003907,0.010115,0.0,0,0.0
class1,SLA-6,B58,B,10,0.007522,0.007605,0.075215,0.008981,0.00436,0.009345,0.0,0,0.0
class1,SLA-6,B_Other,B,10,0.11925,0.120747,1.192504,0.216503,0.022709,0.147476,0.0,0,1.0
class1,SLA-6,C01,C,10,0.02183,0.022161,0.218302,0.021859,0.01449,0.026926,0.0,0,0.0
class1,SLA-6,C02,C,10,0.007243,0.007368,0.072434,0.012071,0.001975,0.009019,0.0,0,0.0
class1,SLA-6,C03,C,10,0.002109,0.002139,0.021089,0.003874,0.000386,0.002633,0.0,0,0.0
class1,SLA-6,C04,C,10,0.009591,0.009567,0.095907,0.01255,0.004584,0.011767,0.0,0,0.0
class1,SLA-6,C05,C,10,0.0042,0.004235,0.042,0.004886,0.002357,0.005224,0.0,0,0.0
class1,SLA-6,C06,C,10,0.000918,0.000929,0.009181,0.001027,0.000621,0.001144,0.0,0,0.0
class1,SLA-6,C07,C,10,0.028019,0.027341,0.280189,0.058691,0.001802,0.035016,0.0,0,0.0
class1,SLA-6,C08,C,10,0.00429,0.004338,0.042897,0.004028,0.002817,0.005356,0.0,0,0.0
class1,SLA-6,C12,C,10,0.00142,0.001415,0.014201,0.00301,7.4e-05,0.001772,0.0,0,0.0
class1,SLA-6,C14,C,10,0.035008,0.03516,0.350075,0.034436,0.023404,0.043548,0.0,0,0.0
class1,SLA-6,C15,C,10,0.008717,0.008622,0.087171,0.017428,0.000939,0.010844,0.0,0,0.0
class1,SLA-6,C16,C,10,0.009796,0.00979,0.097959,0.017438,0.002048,0.012068,0.0,0,0.0
class1,SLA-6,C17,C,10,0.045086,0.044892,0.450855,0.08032,0.009289,0.055676,0.0,0,0.0
class1,SLA-6,C_Other,C,10,0.009875,0.009944,0.098755,0.008179,0.006529,0.011799,0.0,0,0.0
class1,SLA-7,A01,A,3,0.006926,0.007624,0.020777,0.007698,0.00426,0.008484,0.0,0,0.0
class1,SLA-7,A02,A,3,0.000546,0.000621,0.001637,0.000464,0.000356,0.000672,0.0,0,0.0
class1,SLA-7,A03,A,3,0.004162,0.004268,0.012486,0.007649,0.000745,0.005177,0.0,0,0.0
class1,SLA-7,A11,A,3,0.003175,0.003253,0.009526,0.005216,0.000854,0.003886,0.0,0,0.0
class1,SLA-7,A23,A,3,0.003799,0.003658,0.011396,0.004081,0.002274,0.004736,0.0,0,0.0
class1,SLA-7,A24,A,3,0.008448,0.008233,0.025343,0.017183,0.000779,0.010557,0.0,0,0.0
class1,SLA-7,A25,A,3,0.004483,0.004354,0.013449,0.005166,0.002255,0.005518,0.0,0,0.0
class1,SLA-7,A26,A,3,0.003684,0.003887,0.011053,0.002646,0.002789,0.00453,0.0,0,0.0
class1,SLA-7,A29,A,3,0.001777,0.001925,0.005332,0.002121,0.001011,0.002175,0.0,0,0.0
class1,SLA-7,A30,A,3,0.002096,0.002117,0.006287,0.002475,0.000999,0.002494,0.0,0,0.0
class1,SLA-7,A31,A,3,0.001736,0.002005,0.005207,0.001867,0.001057,0.002149,0.0,0,0.0
class1,SLA-7,A32,A,3,0.003971,0.004068,0.011913,0.004147,0.002469,0.004761,0.0,0,0.0
class1,SLA-7,A33,A,3,0.003814,0.003804,0.011443,0.003367,0.00292,0.004676,0.0,0,0.0
class1,SLA-7,A68,A,3,0.009398,0.009555,0.028193,0.012791,0.003868,0.011475,0.0,0,0.0
class1,SLA-7,A_Other,A,3,0.003718,0.003471,0.011155,0.003266,0.002695,0.004547,0.0,0,0.0
class1,SLA-7,B07,B,3,0.060903,0.065072,0.18271,0.102214,0.01567,0.07604,0.0,0,1.0
class1,SLA-7,B08,B,3,0.014584,0.015019,0.043753,0.018985,0.006344,0.017676,0.0,0,0.0
class1,SLA-7,B13,B,3,0.008765,0.009088,0.026295,0.010535,0.004533,0.010776,0.0,0,0.0
class1,SLA-7,B14,B,3,0.10105,0.093401,0.303151,0.057677,0.084243,0.121789,0.0,0,0.3333
class1,SLA-7,B15,B,3,0.005546,0.005712,0.016637,0.006674,0.003191,0.00688,0.0,0,0.0
class1,SLA-7,B18,B,3,0.00229,0.002338,0.00687,0.001588,0.001596,0.002595,0.0,0,0.0
class1,SLA-7,B27,B,3,0.012582,0.014285,0.037747,0.017868,0.005181,0.015669,0.0,0,0.0
class1,SLA-7,B35,B,3,0.00198,0.001764,0.005939,0.001526,0.001404,0.002378,0.0,0,0.0
class1,SLA-7,B37,B,3,0.052995,0.053507,0.158984,0.087692,0.015105,0.066074,0.0,0,0.0
class1,SLA-7,B38,B,3,0.015234,0.014795,0.045702,0.024892,0.004168,0.018968,0.0,0,0.0
class1,SLA-7,B39,B,3,0.014836,0.015478,0.044507,0.018333,0.007267,0.018333,0.0,0,0.0
class1,SLA-7,B40,B,3,0.005891,0.006213,0.017672,0.010414,0.001241,0.00723,0.0,0,0.0
class1,SLA-7,B41,B,3,0.015387,0.015,0.046161,0.012615,0.011516,0.018684,0.0,0,0.0
class1,SLA-7,B44,B,3,0.003063,0.002949,0.009189,0.002663,0.002,0.003711,0.0,0,0.0
class1,SLA-7,B46,B,3,0.0062,0.007289,0.0186,0.005187,0.004516,0.007597,0.0,0,0.0
class1,SLA-7,B49,B,3,0.006947,0.006853,0.020842,0.006904,0.004139,0.008327,0.0,0,0.0
class1,SLA-7,B50,B,3,0.014548,0.015421,0.043644,0.008986,0.012519,0.017824,0.0,0,0.0
class1,SLA-7,B51,B,3,0.008938,0.00993,0.026813,0.010899,0.005089,0.011166,0.0,0,0.0
class1,SLA-7,B52,B,3,0.003631,0.003721,0.010892,0.002289,0.002705,0.004278,0.0,0,0.0
class1,SLA-7,B53,B,3,0.007244,0.006658,0.021733,0.007397,0.004254,0.008914,0.0,0,0.0
class1,SLA-7,B55,B,3,0.045114,0.040257,0.135342,0.043845,0.026854,0.055826,0.0,0,0.0
class1,SLA-7,B56,B,3,0.035482,0.031026,0.106447,0.048295,0.014718,0.043795,0.0,0,0.0
class1,SLA-7,B57,B,3,0.011708,0.014002,0.035124,0.014338,0.006728,0.014612,0.0,0,0.0
class1,SLA-7,B58,B,3,0.01251,0.010849,0.037529,0.019481,0.004362,0.015626,0.0,0,0.0
class1,SLA-7,B_Other,B,3,0.203536,0.176567,0.610607,0.246765,0.097273,0.250016,1.0,3,2.0
class1,SLA-7,C01,C,3,0.071393,0.067022,0.214178,0.14023,0.008728,0.088921,0.0,0,1.0
class1,SLA-7,C02,C,3,0.04672,0.058296,0.14016,0.080727,0.011656,0.058339,0.0,0,0.6667
class1,SLA-7,C03,C,3,0.01027,0.013422,0.030811,0.021186,0.000802,0.012835,0.0,0,0.0
class1,SLA-7,C04,C,3,0.001468,0.001675,0.004405,0.001392,0.001113,0.001815,0.0,0,0.0
class1,SLA-7,C05,C,3,0.033457,0.029777,0.10037,0.056976,0.008055,0.0411,0.0,0,0.0
class1,SLA-7,C06,C,3,0.002432,0.002235,0.007297,0.002377,0.001637,0.003039,0.0,0,0.0
class1,SLA-7,C07,C,3,0.001704,0.001438,0.005111,0.002333,0.000852,0.002126,0.0,0,0.0
class1,SLA-7,C08,C,3,0.027793,0.030314,0.083379,0.036013,0.012546,0.03468,0.0,0,0.0
class1,SLA-7,C12,C,3,0.008085,0.00897,0.024256,0.011187,0.004162,0.010084,0.0,0,0.0
class1,SLA-7,C14,C,3,0.011043,0.010831,0.033129,0.012412,0.005822,0.013522,0.0,0,0.0
class1,SLA-7,C15,C,3,0.011029,0.010966,0.033088,0.015083,0.004603,0.013751,0.0,0,0.0
class1,SLA-7,C16,C,3,0.023812,0.021998,0.071437,0.040333,0.00606,0.029547,0.0,0,0.0
class1,SLA-7,C17,C,3,0.011028,0.014347,0.033084,0.012775,0.005929,0.013678,0.0,0,0.0
class1,SLA-7,C_Other,C,3,0.00707,0.007558,0.02121,0.005514,0.005604,0.008747,0.0,0,0.0
class1,SLA-8,A01,A,5,0.001185,0.001103,0.005923,0.001012,0.000778,0.001457,0.0,0,0.0
class1,SLA-8,A02,A,5,0.008022,0.006827,0.040112,0.009732,0.003806,0.009961,0.0,0,0.0
class1,SLA-8,A03,A,5,0.000938,0.000933,0.004689,0.000889,0.000606,0.001162,0.0,0,0.0
class1,SLA-8,A11,A,5,0.000631,0.000646,0.003157,0.000628,0.000365,0.000769,0.0,0,0.0
class1,SLA-8,A23,A,5,0.072604,0.07279,0.363021,0.073286,0.051029,0.089645,0.2,1,0.2
class1,SLA-8,A24,A,5,0.016581,0.013813,0.082907,0.036322,0.000338,0.020713,0.0,0,0.0
class1,SLA-8,A25,A,5,0.00818,0.008099,0.040898,0.005439,0.006338,0.009795,0.0,0,0.0
class1,SLA-8,A26,A,5,0.002661,0.002624,0.013307,0.002461,0.001693,0.003283,0.0,0,0.0
class1,SLA-8,A29,A,5,0.031504,0.031565,0.157519,0.04353,0.013811,0.039305,0.0,0,0.0
class1,SLA-8,A30,A,5,0.018588,0.016843,0.09294,0.034615,0.003125,0.022931,0.0,0,0.0
class1,SLA-8,A31,A,5,0.004579,0.004725,0.022896,0.004924,0.003087,0.005654,0.0,0,0.0
class1,SLA-8,A32,A,5,0.017491,0.017104,0.087457,0.024815,0.006972,0.021444,0.0,0,0.0
class1,SLA-8,A33,A,5,0.004575,0.004558,0.022874,0.003408,0.003337,0.00564,0.0,0,0.0
class1,SLA-8,A68,A,5,0.006287,0.005454,0.031434,0.005438,0.004774,0.007755,0.0,0,0.0
class1,SLA-8,A_Other,A,5,0.008152,0.007915,0.040759,0.009815,0.004044,0.010047,0.0,0,0.0
class1,SLA-8,B07,B,5,0.001885,0.002059,0.009425,0.002736,0.000737,0.002339,0.0,0,0.0
class1,SLA-8,B08,B,5,0.02107,0.020929,0.105351,0.040698,0.002897,0.026296,0.0,0,0.0
class1,SLA-8,B13,B,5,0.002312,0.002062,0.011561,0.003153,0.000964,0.002878,0.0,0,0.0
class1,SLA-8,B14,B,5,0.009322,0.009885,0.046609,0.011492,0.004381,0.011216,0.0,0,0.0
class1,SLA-8,B15,B,5,0.003637,0.004077,0.018185,0.005011,0.001831,0.004536,0.0,0,0.0
class1,SLA-8,B18,B,5,0.036343,0.035276,0.181714,0.06781,0.006324,0.045309,0.0,0,0.0
class1,SLA-8,B27,B,5,0.067042,0.067358,0.335208,0.098686,0.027575,0.083701,0.0,0,0.6
class1,SLA-8,B35,B,5,0.000343,0.000324,0.001715,0.000403,0.00017,0.000417,0.0,0,0.0
class1,SLA-8,B37,B,5,0.01566,0.015222,0.078301,0.012064,0.011031,0.018581,0.0,0,0.0
class1,SLA-8,B38,B,5,0.007217,0.007979,0.036087,0.007038,0.004308,0.008993,0.0,0,0.0
class1,SLA-8,B39,B,5,0.034098,0.033001,0.17049,0.07018,0.002729,0.042507,0.0,0,0.8
class1,SLA-8,B40,B,5,0.022418,0.022647,0.112091,0.046094,0.001814,0.027919,0.0,0,0.0
class1,SLA-8,B41,B,5,0.066501,0.071546,0.332507,0.136268,0.005579,0.082791,0.0,0,1.0
class1,SLA-8,B44,B,5,0.001341,0.001309,0.006705,0.001603,0.000865,0.00166,0.0,0,0.0
class1,SLA-8,B46,B,5,0.023283,0.021142,0.116413,0.046982,0.002292,0.028905,0.0,0,0.0
class1,SLA-8,B49,B,5,0.003362,0.003606,0.01681,0.002804,0.002165,0.003839,0.0,0,0.0
class1,SLA-8,B50,B,5,0.00359,0.003771,0.017951,0.001651,0.003265,0.004252,0.0,0,0.0
class1,SLA-8,B51,B,5,0.002533,0.00262,0.012663,0.004226,0.000656,0.003139,0.0,0,0.0
class1,SLA-8,B52,B,5,0.002283,0.002359,0.011415,0.001469,0.001907,0.002765,0.0,0,0.0
class1,SLA-8,B53,B,5,0.003793,0.003822,0.018964,0.003188,0.002547,0.004672,0.0,0,0.0
class1,SLA-8,B55,B,5,0.006544,0.006529,0.03272,0.006793,0.004679,0.008101,0.0,0,0.0
class1,SLA-8,B56,B,5,0.006536,0.007423,0.03268,0.006172,0.004291,0.008142,0.0,0,0.0
class1,SLA-8,B57,B,5,0.028879,0.030715,0.144397,0.017365,0.023664,0.033901,0.0,0,0.0
class1,SLA-8,B58,B,5,0.040842,0.040938,0.20421,0.079828,0.005184,0.050855,0.0,0,0.8
class1,SLA-8,B_Other,B,5,0.005231,0.00539,0.026157,0.006451,0.002829,0.00653,0.0,0,0.0
class1,SLA-8,C01,C,5,0.024056,0.024641,0.120281,0.017771,0.018392,0.029481,0.0,0,0.0
class1,SLA-8,C02,C,5,0.011154,0.011222,0.055769,0.016115,0.004611,0.013872,0.0,0,0.0
class1,SLA-8,C03,C,5,0.001956,0.001861,0.009778,0.002223,0.001047,0.002416,0.0,0,0.0
class1,SLA-8,C04,C,5,0.003654,0.003716,0.018271,0.004414,0.002146,0.004565,0.0,0,0.0
class1,SLA-8,C05,C,5,0.05661,0.05006,0.283048,0.100477,0.012388,0.070729,0.0,0,0.4
class1,SLA-8,C06,C,5,0.003141,0.00314,0.015705,0.002109,0.002308,0.003736,0.0,0,0.0
class1,SLA-8,C07,C,5,0.021552,0.020783,0.107761,0.044189,0.001806,0.026816,0.0,0,0.0
class1,SLA-8,C08,C,5,0.039015,0.033184,0.195076,0.075372,0.005413,0.048735,0.0,0,0.2
class1,SLA-8,C12,C,5,0.004818,0.004762,0.024091,0.00594,0.002227,0.005933,0.0,0,0.0
class1,SLA-8,C14,C,5,0.045117,0.048945,0.225585,0.085593,0.006873,0.055621,0.0,0,0.4
class1,SLA-8,C15,C,5,0.037436,0.035309,0.187181,0.071561,0.005532,0.046673,0.0,0,0.2
class1,SLA-8,C16,C,5,0.048674,0.049561,0.24337,0.048947,0.029895,0.059889,0.0,0,0.2
class1,SLA-8,C17,C,5,0.078017,0.07904,0.390085,0.078019,0.04813,0.096854,0.8,4,0.2
class1,SLA-8,C_Other,C,5,0.006755,0.006957,0.033776,0.004263,0.005192,0.007954,0.0,0,0.0
class1,SLA-9,A01,A,5,0.006501,0.003398,0.032503,0.004534,0.00496,0.007602,0.0,0,0.0
class1,SLA-9,A02,A,5,0.05305,0.013344,0.265248,0.068726,0.028754,0.065384,0.2,1,0.4
class1,SLA-9,A03,A,5,0.024304,0.01343,0.121521,0.020464,0.017194,0.030338,0.0,0,0.2
class1,SLA-9,A11,A,5,0.008278,0.004872,0.041391,0.006892,0.00624,0.010065,0.0,0,0.0
class1,SLA-9,A23,A,5,0.008118,0.008996,0.040592,0.007107,0.004977,0.009251,0.0,0,0.0
class1,SLA-9,A24,A,5,0.005591,0.003847,0.027957,0.005151,0.003444,0.006866,0.0,0,0.0
class1,SLA-9,A25,A,5,0.007359,0.004471,0.036794,0.006001,0.005277,0.008802,0.0,0,0.0
class1,SLA-9,A26,A,5,0.003811,0.0026,0.019057,0.002693,0.002823,0.004464,0.0,0,0.0
class1,SLA-9,A29,A,5,0.025329,0.010346,0.126646,0.027887,0.015334,0.031352,0.0,0,0.0
class1,SLA-9,A30,A,5,0.018994,0.01685,0.094969,0.031616,0.005051,0.023548,0.0,0,0.0
class1,SLA-9,A31,A,5,0.036891,0.028421,0.184453,0.0589,0.01071,0.045869,0.0,0,0.4
class1,SLA-9,A32,A,5,0.009841,0.011005,0.049203,0.010736,0.005511,0.011998,0.0,0,0.0
class1,SLA-9,A33,A,5,0.004913,0.005713,0.024563,0.003507,0.003823,0.005742,0.0,0,0.0
class1,SLA-9,A68,A,5,0.007242,0.005382,0.036208,0.004854,0.005964,0.008757,0.0,0,0.0
class1,SLA-9,A_Other,A,5,0.022934,0.025797,0.114668,0.027078,0.013394,0.028436,0.0,0,0.2
class1,SLA-9,B07,B,5,0.013115,0.016866,0.065574,0.014166,0.007696,0.016184,0.0,0,0.0
class1,SLA-9,B08,B,5,0.009428,0.009182,0.04714,0.008566,0.006466,0.011563,0.0,0,0.0
class1,SLA-9,B13,B,5,0.014708,0.009073,0.073541,0.016745,0.007625,0.018047,0.0,0,0.2
class1,SLA-9,B14,B,5,0.007226,0.003693,0.036128,0.010734,0.002489,0.008943,0.0,0,0.0
class1,SLA-9,B15,B,5,0.036346,0.040187,0.181728,0.044972,0.016909,0.043897,0.0,0,0.2
class1,SLA-9,B18,B,5,0.026185,0.033275,0.130926,0.044581,0.006309,0.031856,0.0,0,0.2
class1,SLA-9,B27,B,5,0.012818,0.011304,0.064091,0.01161,0.00873,0.016007,0.0,0,0.0
class1,SLA-9,B35,B,5,0.006257,0.003103,0.031285,0.001426,0.005784,0.006536,0.0,0,0.0
class1,SLA-9,B37,B,5,0.008093,0.009432,0.040465,0.00905,0.004364,0.009952,0.0,0,0.0
class1,SLA-9,B38,B,5,0.005542,0.004124,0.027712,0.005361,0.003196,0.006459,0.0,0,0.0
class1,SLA-9,B39,B,5,0.006734,0.004014,0.033668,0.007395,0.004091,0.008316,0.0,0,0.0
class1,SLA-9,B40,B,5,0.01426,0.008056,0.071302,0.015682,0.008008,0.017172,0.0,0,0.0
class1,SLA-9,B41,B,5,0.006425,0.007098,0.032126,0.004718,0.004654,0.007548,0.0,0,0.0
class1,SLA-9,B44,B,5,0.067261,0.043579,0.336304,0.128136,0.009978,0.082341,0.2,1,0.2
class1,SLA-9,B46,B,5,0.065103,0.100935,0.325517,0.100088,0.020956,0.081237,0.0,0,0.4
class1,SLA-9,B49,B,5,0.006257,0.009418,0.031285,0.004515,0.004905,0.007661,0.0,0,0.0
class1,SLA-9,B50,B,5,0.00492,0.004794,0.024598,0.004955,0.003541,0.006082,0.0,0,0.0
class1,SLA-9,B51,B,5,0.014996,0.01535,0.074979,0.013621,0.010855,0.018251,0.0,0,0.0
class1,SLA-9,B52,B,5,0.010039,0.005627,0.050197,0.010041,0.005778,0.012057,0.0,0,0.0
class1,SLA-9,B53,B,5,0.004758,0.005655,0.023792,0.002415,0.003742,0.005317,0.0,0,0.0
class1,SLA-9,B55,B,5,0.005643,0.005447,0.028215,0.003523,0.004741,0.006968,0.0,0,0.0
class1,SLA-9,B56,B,5,0.009774,0.006374,0.048869,0.016345,0.002506,0.012122,0.0,0,0.2
class1,SLA-9,B57,B,5,0.120543,0.134131,0.602717,0.081463,0.087061,0.139001,0.4,2,1.0
class1,SLA-9,B58,B,5,0.01963,0.023216,0.098152,0.018642,0.011649,0.023001,0.0,0,0.0
class1,SLA-9,B_Other,B,5,0.008192,0.006825,0.040958,0.007119,0.005346,0.009815,0.0,0,0.0
class1,SLA-9,C01,C,5,0.010409,0.010428,0.052046,0.009091,0.007105,0.012751,0.0,0,0.0
class1,SLA-9,C02,C,5,0.023704,0.030182,0.118521,0.017745,0.017442,0.028258,0.0,0,0.2
class1,SLA-9,C03,C,5,0.015218,0.018229,0.076089,0.01039,0.011886,0.018413,0.0,0,0.0
class1,SLA-9,C04,C,5,0.016107,0.000931,0.080534,0.029507,0.002921,0.019797,0.0,0,0.4
class1,SLA-9,C05,C,5,0.015451,0.018513,0.077256,0.011891,0.012887,0.019166,0.0,0,0.0
class1,SLA-9,C06,C,5,0.009267,0.004009,0.046334,0.008281,0.005772,0.011272,0.0,0,0.0
class1,SLA-9,C07,C,5,0.013937,0.008676,0.069683,0.010514,0.010203,0.017006,0.0,0,0.0
class1,SLA-9,C08,C,5,0.0599,0.016933,0.2995,0.068986,0.032261,0.074868,0.2,1,0.6
class1,SLA-9,C12,C,5,0.032203,0.008175,0.161014,0.029995,0.021855,0.040237,0.0,0,0.2
class1,SLA-9,C14,C,5,0.016086,0.021551,0.080428,0.013208,0.013221,0.020088,0.0,0,0.0
class1,SLA-9,C15,C,5,0.005468,0.003967,0.02734,0.00403,0.004272,0.006624,0.0,0,0.0
class1,SLA-9,C16,C,5,0.019399,0.016979,0.096993,0.024284,0.008988,0.024217,0.0,0,0.0
class1,SLA-9,C17,C,5,0.011992,0.012257,0.05996,0.009672,0.008618,0.01476,0.0,0,0.0
class1,SLA-9,C_Other,C,5,0.003452,0.003235,0.017261,0.002344,0.002535,0.004167,0.0,0,0.0
class2,SLA-DQB1,DQB102,DQB1,53,0.117462,0.12813,6.225499,0.166629,0.044194,0.146128,0.1887,10,0.6604
